price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
 12 tỷ , 64 m, Đường Nguyễn Trãi. Phường Thượng Đình. Quận Thanh Xuân. Hà Nội,11916622,_,---,Cần bán,60m,---,Nhà mặt tiền,---,---,---,7,---,---,5,---
 3.7 tỷ , 205 m, Đường Định Công. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,11919088,_,---,Cần bán,"3,5m",---,Nhà trong hẻm,---,---,---,5,---,---,4,---
 11 tỷ , 258 m, Phố Khúc Thừa Dụ. Phường Dịch Vọng Hậu. Quận Cầu Giấy. Hà Nội,11925837,_,---,Cần bán,8m,---,Nhà trong hẻm,---,---,---,5,---,---,5,---
 70 tỷ , 255 m, 63 Đường Nguyễn Hoàng. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,11926472,_,---,Cần bán,50m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,10,---,---,10,---
 7.79 tỷ , 45 m, Đường Hoàng Quốc Việt. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11968708,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,7,---,---,6,---
 12.7 tỷ , 75 m, Đường Mai Dịch. Phường Mai Dịch. Quận Cầu Giấy. Hà Nội,11969710,_,---,Cần bán,20m,---,Nhà trong hẻm,---,---,---,---,---,---,6,---
 10.5 tỷ , 57 m, Đường Xuân La. Phường Xuân La. Quận Tây Hồ. Hà Nội,11953205,_,---,Cần bán,10m,---,Nhà trong hẻm,---,---,---,5,---,---,5,---
 6.1 tỷ , 265 m, Phố Phan Kế Bính. Phường Cống Vị. Quận Ba Đình. Hà Nội,11956439,_,---,Cần bán,"3,5m",---,Nhà trong hẻm,---,---,---,6,---,---,6,---
 10.6 tỷ , 58 m, Phố Trần Quốc Hoàn. Phường Dịch Vọng Hậu. Quận Cầu Giấy. Hà Nội,11946595,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,5,---,---,5,---
 10.9 tỷ , 58 m, Đường Hoàng Quốc Việt. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11946309,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,7,---,---,7,---
 5.9 tỷ , 36 m, Đường Nguyễn Chí Thanh. Phường Láng Thượng. Quận Đống Đa. Hà Nội,11935757,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,8,---,---,3,---
 8.5 tỷ , 254 m, Phố Nghĩa Đô. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11934150,_,---,Cần bán,15m,---,Nhà trong hẻm,---,---,---,5,---,---,4,---
 3.6 tỷ , 33 m, Đường Xuân Đỉnh. Phường Xuân Đỉnh. Quận Bắc Từ Liêm. Hà Nội,11984803,_,---,Cần bán,"3,5m",---,Nhà trong hẻm,---,---,---,7,---,---,4,---
 230 tỷ , 500 m, Phố Hàng Bún. Phường Trúc Bạch. Quận Ba Đình. Hà Nội,11987570,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,---,10,---,---,50,---
 15.5 tỷ , 110 m, Đường Xuân Đỉnh. Phường Xuân Đỉnh. Quận Bắc Từ Liêm. Hà Nội,11603420,_,,Cần bán,8m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,8m,1,,13m,1,---
 3.65 tỷ , 54 m, Đường An Dương Vương. Phường Phú Thượng. Quận Tây Hồ. Hà Nội,11619873,_,,Cần bán,4m,,"Đất thổ cư, đất ở",---,,5m,1,,11m,2,---
 5.5 tỷ , 51 m, Đường Lạc Long Quân. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11619889,_,,Cần bán,"3,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,6,,13m,4,---
 4.35 tỷ , 36 m, Đường Phạm Văn Đồng. Phường Xuân Đỉnh. Quận Bắc Từ Liêm. Hà Nội,11681161,_,,Cần bán,1m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,2m",---,,12m,---,---
 6.75 tỷ , 40 m, Đường Lạc Long Quân. Phường Xuân La. Quận Tây Hồ. Hà Nội,11637735,_,,Cần bán,1m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,3m,6,,14m,5,---
 6.8 tỷ , 42 m, Đường Lạc Long Quân. Phường Xuân La. Quận Tây Hồ. Hà Nội,11635774,_,,Cần bán,"3,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",6,,12m,4,---
 6.75 tỷ , 40 m, Đường Lạc Long Quân. Phường Xuân La. Quận Tây Hồ. Hà Nội,11635803,Đông Nam,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,3m",6,,14m,4,---
 3.8 tỷ , 30 m, Đường Xuân Đỉnh. Phường Xuân Đỉnh. Quận Bắc Từ Liêm. Hà Nội,11710575,_,,Cần bán,1m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,"4,3m",5,,8m,3,---
 10.8 tỷ , 40 m, Phố Huỳnh Thúc Kháng. Phường Láng Hạ. Quận Đống Đa. Hà Nội,12010893,_,,Cần bán,8m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,,---,3,---
 11.8 tỷ , 46 m, Phố Chùa Láng. Phường Láng Thượng. Quận Đống Đa. Hà Nội,12009871,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,9m",7,---,9m,4,---
 11 tỷ , 159 m, Đường Hoàng Mai. Phường Hoàng Văn Thụ. Quận Hoàng Mai. Hà Nội,12020013,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"9,5m",2,,16m,3,---
 24 tỷ , 82 m, Phố Hàng Giấy. Phường Đồng Xuân. Quận Hoàn Kiếm. Hà Nội,10029959,_,---,Cần bán,3m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"3,9m",2,---,21m,3,---
 12.8 tỷ , 45 m, Phố Lý Nam Đế. Phường Hàng Mã. Quận Hoàn Kiếm. Hà Nội,10415132,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,4,---,11m,3,---
 23.5 tỷ , 71 m, Phố Triệu Việt Vương. Phường Ngô Thì Nhậm. Quận Hai Bà Trưng. Hà Nội,10202385,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,"5,8m",5,---,"12,2m",3,---
 25 tỷ , 75 m, Đường Thụy Khuê. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,10212251,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,5,---,15m,3,---
 23 tỷ , 95 m, Đường Chương Dương Độ. Phường Chương Dương Độ. Quận Hoàn Kiếm. Hà Nội,10188618,_,---,Cần bán,20m,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,5m,7,---,19m,17,---
 9.8 tỷ , 53 m, Phố Lý Nam Đế. Phường Hàng Mã. Quận Hoàn Kiếm. Hà Nội,10322563,_,---,Cần bán,4m,---,Nhà trong hẻm,---,---,"3,8m",2,---,20m,3,---
 9.8 tỷ , 51 m, Phố Lý Nam Đế. Phường Hàng Mã. Quận Hoàn Kiếm. Hà Nội,10678648,_,---,Cần bán,"3,5m",---,Nhà trong hẻm,---,---,"3,8m",3,---,"13,4m",4,---
 5.4 tỷ , 41 m, Phố Đội cấn. Phường Liễu Giai. Quận Ba Đình. Hà Nội,10693003,_,---,Cần bán,"2,5m",---,Nhà trong hẻm,---,---,"3,6m",5,---,"11,3m",3,---
 15.7 tỷ , 45 m, Đường Vọng Đức. Phường Hàng Bài. Quận Hoàn Kiếm. Hà Nội,10545518,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,7m",5,---,"7,8m",3,---
 5.1 tỷ , 29 m, Phố Lý Nam Đế. Phường Hàng Mã. Quận Hoàn Kiếm. Hà Nội,11046257,_,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",4,---,"8,2m",4,---
 8.5 tỷ , 100 m, Phố Hàng Ngang. Phường Hàng Đào. Quận Hoàn Kiếm. Hà Nội,10883264,_,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,2,---,20m,2,---
 15.5 tỷ , 50 m, Phố Vạn Bảo. Phường Cống Vị. Quận Ba Đình. Hà Nội,10923399,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,1m",7,---,10m,5,---
 1.55 tỷ , 55 m, Đường Giáp Nhất. Phường Hạ Đình. Quận Thanh Xuân. Hà Nội,10921237,_,---,Cần bán,2m,---,Căn hộ chung cư,Giấy tờ hợp lệ,---,7m,8,---,8m,2,---
 3.05 tỷ , 20 m, Phố Đặng Dung. Phường Nguyễn Trung Trực. Quận Ba Đình. Hà Nội,10990680,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,3m,4,---,"6,8m",2,---
 4.5 tỷ , 20 m, Phố Phan Chu Trinh. Phường Phan Chu Trinh. Quận Hoàn Kiếm. Hà Nội,10983008,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",5,---,6m,3,---
 13.9 tỷ , 24 m, Đường Yên Thái. Phường Hàng Bông. Quận Hoàn Kiếm. Hà Nội,11175466,_,---,Cần bán,8m,---,Nhà trong hẻm,---,---,"3,5m",4,---,"6,8m",3,---
 1 tỷ , 50 m, Đường Giáp Nhất. Phường Khương Đình. Quận Thanh Xuân. Hà Nội,11235131,_,,Cần bán,6m,,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,,6m,8,---,"8,5m",2,---
 34 tỷ , 32 m, Phố Nguyễn Hữu Huân. Phường Lý Thái Tổ. Quận Hoàn Kiếm. Hà Nội,11154004,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,"4,2m",5,---,8m,3,---
 8.5 tỷ , 42 m, Phố Đội cấn. Phường Liễu Giai. Quận Ba Đình. Hà Nội,11105049,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,"3,7m",4,---,11m,6,---
 11.5 tỷ , 60 m, Đường Hồng Hà. Phường Phúc Xá. Quận Ba Đình. Hà Nội,11097531,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"3,9m",5,---,"15,3m",6,---
 123.5 tỷ , 204 m, Phố Nam Ngư. Phường Cửa Nam. Quận Hoàn Kiếm. Hà Nội,8251788,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,---,12,---,---,54,---
 135 tỷ , 250 m, Đường Nguyễn Khánh Toàn. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,9140804,_,---,Cần bán,50m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,4,---,---,3,---
 42 tỷ , 500 m, Đường Nguyễn Quốc Trị. Phường Dịch Vọng Hậu. Quận Cầu Giấy. Hà Nội,9931105,_,---,Cần bán,20m,---,Văn phòng,---,---,"6,9m",7,---,---,---,---
 9 tỷ , 100 m, Đường Văn Tiến Dũng. Phường Tây Tựu. Quận Bắc Từ Liêm. Hà Nội,9924579,_,---,Cần bán,60m,---,"Đất nền, liền kề, đất dự án",---,---,6m,4,---,---,2,---
 29.9 tỷ , 500 m, Đường Hàm Nghi. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,9943683,_,---,Cần bán,30m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,7m,5,---,---,3,---
 131 tỷ , 400 m, Đường Xuân Thủy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9937810,_,---,Cần bán,60m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,14m,1,---,---,---,---
 61 tỷ , 1.200 m, Đường Lê Văn Lương. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,9950553,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,14m,8,---,---,3,---
 17.5 tỷ , 60 m, Phố Đại La. Phường Đồng Tâm. Quận Hai Bà Trưng. Hà Nội,8887870,_,---,Cần bán,60m,---,Nhà mặt tiền,---,---,---,2,---,---,2,---
 4.6 tỷ , 44 m, 343 Phố Đội cấn. Phường Liễu Giai. Quận Ba Đình. Hà Nội,10923251,_,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",4,,12m,4,---
 6.2 tỷ , 50 m, Đường Lê Đức Thọ. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,9933780,Tây Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",6,---,14m,9,---
 4.1 tỷ , 40 m, Đường Cầu Giấy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9920601,Tây Nam,---,Cần bán,"3,m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"3,5m",4,---,"11,5m",5,---
 6.4 tỷ , 55 m, Đường Hồ Tùng Mậu. Phường Mai Dịch. Quận Cầu Giấy. Hà Nội,9907786,Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,4,---,11m,9,---
 5.8 tỷ , 50 m, Đường Đình Thôn. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,9849637,Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,"12,5m",9,---
 5 tỷ , 48 m, Đường Lê Đức Thọ. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,9855402,Nam,---,Cần bán,3m,---,Nhà trong hẻm,---,---,"3,8m",4,---,"12,5m",5,---
 7.5 tỷ , 62 m, Đường Cầu Diễn. Phường Cầu Diễn. Quận Nam Từ Liêm. Hà Nội,9802582,Nam,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,4,---,"15,5m",5,---
 4.95 tỷ , 50 m, Đường Lê Đức Thọ. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,9811559,Nam,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,6m",4,,"10,8m",6,---
 6 tỷ , 55 m, Đường Nguyễn Khánh Toàn. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9985695,Nam,---,Cần bán,3m,---,Nhà trong hẻm,---,---,"4,5m",5,---,"12,2m",6,---
 5 tỷ , 40 m, Đường Lạc Long Quân. Phường Xuân La. Quận Tây Hồ. Hà Nội,9989538,Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,6m",5,---,"8,7m",4,---
 5 tỷ , 44 m, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9976925,Tây Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,10m,5,---
 4 tỷ , 35 m, Phố Hoa Bằng. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,9970683,Nam,---,Cần bán,"3,m",---,Nhà trong hẻm,---,---,"3,6m",5,---,10m,3,---
 6.5 tỷ , 60 m, Phố Trần Thái Tông. Phường Dịch Vọng Hậu. Quận Cầu Giấy. Hà Nội,9982185,Tây Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,15m,6,---
 5.8 tỷ , 50 m, Đường Xuân La. Phường Xuân La. Quận Tây Hồ. Hà Nội,10365998,_,---,Cần bán,"3,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,5m",5,---,"11,11m",5,---
 11 tỷ , 50 m, Phố Phùng Chí Kiên. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,10367655,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"6,5m",6,---,"7,69m",7,---
 12 tỷ , 90 m, Phố Tôn Đức Thắng. Phường Hàng Bột. Quận Đống Đa. Hà Nội,10368466,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,4,---,18m,6,---
 11.7 tỷ , 79 m, Phố Dương Quảng Hàm. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,10297043,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"8,6m",4,---,"9,2m",4,---
 9.7 tỷ , 50 m, Phố Phạm Tuấn Tài. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,10274758,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",5,---,"11,1m",5,---
 5.5 tỷ , 46 m, Đường Lạc Long Quân. Phường Xuân La. Quận Tây Hồ. Hà Nội,10244813,Tây,---,Cần bán,"3,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,1m",5,---,"10,9m",6,---
 15.8 tỷ , 41 m, Phố Hoàng Cầu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,12172070,_,,Cần bán,"7,6m",,Nhà trong hẻm,---,,5m,8,,---,5,---
 22.9 tỷ , 73 m, Đường Nguyễn Thị Định. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,12173820,_,,Cần bán,"8,2m",,Nhà trong hẻm,---,,"4,3m",5,,---,6,---
 19.9 tỷ , 60 m, Phố Giang Văn Minh. Phường Đội Cấn. Quận Ba Đình. Hà Nội,12174257,_,,Cần bán,"4,5m",,Nhà trong hẻm,---,,14m,5,,---,5,---
 12 tỷ , 43 m, Phố Hoàng Ngân. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,12167264,_,,Cần bán,8m,,Nhà mặt tiền,---,,---,7,,---,4,---
 10.5 tỷ , 47 m, Phố Thái Hà. Phường Trung Liệt. Quận Đống Đa. Hà Nội,12164190,_,,Cần bán,"3,8m",,Nhà trong hẻm,---,,---,4,,---,4,---
 99 tỷ , 130 m, Phố Xã Đàn. Phường Phương Liên. Quận Đống Đa. Hà Nội,12164270,_,,Cần bán,12m,,Nhà mặt tiền,---,,---,9,,---,4,---
 16.5 tỷ , 47 m, Phố Phan Phù Tiên. Phường Cát Linh. Quận Đống Đa. Hà Nội,12164988,_,,Cần bán,14m,,Nhà mặt tiền,---,,"6,3m",6,,---,4,---
 39.5 tỷ , 90 m, Phố Nguyên Hồng. Phường Láng Hạ. Quận Đống Đa. Hà Nội,12164989,_,,Cần bán,8m,,Nhà trong hẻm,---,,---,7,,---,3,---
 10.2 tỷ , 54 m, Phố Tôn Đức Thắng. Phường Hàng Bột. Quận Đống Đa. Hà Nội,12165710,_,,Cần bán,4m,,"Phòng trọ, nhà trọ",---,,---,8,,---,12,---
 22.6 tỷ , 216 m, Đường Lê Văn Lương. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,12165952,_,,Cần bán,"6,6m",,"Biệt thự, nhà liền kề",---,,8m,3,,---,4,---
 22 tỷ , 88 m, Đường Nguyễn Trãi. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,12151821,_,,Cần bán,"9,3m",,"Biệt thự, nhà liền kề",---,,7m,4,,---,3,---
 8.3 tỷ , 38 m, Phố Hào Nam. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,12154444,_,,Cần bán,"3,9m",,Nhà trong hẻm,---,,---,5,,---,5,---
 5.8 tỷ , 45 m, Đường Nguyễn Chí Thanh. Phường Láng Thượng. Quận Đống Đa. Hà Nội,12157758,_,,Cần bán,"3,3m",,Nhà trong hẻm,---,,---,4,,---,4,---
 18.3 tỷ , 55 m, Đường Hồ Văn Chương. Phường Hàng Bột. Quận Đống Đa. Hà Nội,12162393,_,,Cần bán,8m,,Nhà mặt tiền,---,,---,7,,---,5,---
 5.95 tỷ , 40 m, Phố Hào Nam. Phường Cát Linh. Quận Đống Đa. Hà Nội,11864053,_,,Cần bán,5m,,Nhà trong hẻm,---,,---,5,,---,4,---
 12 tỷ , 146 m, Đường Xuân Diệu. Phường Quảng An. Quận Tây Hồ. Hà Nội,11779113,_,,Cần bán,6m,,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,,12m,15,,12m,3,---
 15.5 tỷ , 44 m, Đường Xuân La. Phường Xuân La. Quận Tây Hồ. Hà Nội,11799388,_,,Cần bán,7m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,75m",5,,9m,3,---
 6.05 tỷ , 62 m, Phố Bồ Đề. Phường Bồ Đề. Quận Long Biên. Hà Nội,10473589,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,,---,4,---
 4.3 tỷ , 52 m, Đường Ngọc Thụy. Phường Ngọc Thụy. Quận Long Biên. Hà Nội,10482967,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,,---,3,---
 4 tỷ , 45 m, Đường Nguyễn Văn Cừ. Phường Bồ Đề. Quận Long Biên. Hà Nội,10440339,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,,---,5,---
 4.7 tỷ , 46 m, Phố Giáp Nhị. Phường Thịnh Liệt. Quận Hoàng Mai. Hà Nội,11765734,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,5m",5,---,"9,8m",6,---
 11.5 tỷ , 50 m, Phố Hoàng Văn Thái. Phường Khương Mai. Quận Thanh Xuân. Hà Nội,11745433,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,6m,8,---,"8,4m",3,---
 11 tỷ , 58 m, Phố Vương Thừa Vũ. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,11745492,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,6m,5,---,"9,7m",11,---
 4.3 tỷ , 46 m, Đường Nguyễn Đức Cảnh. Phường Tương Mai. Quận Hoàng Mai. Hà Nội,11820044,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,8m",1,,12m,1,---
 6 tỷ , 45 m, Phố Minh Khai. Phường Hoàng Văn Thụ. Quận Hoàng Mai. Hà Nội,11812071,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,4m",5,,13m,6,---
 14 tỷ , 56 m, Đường Nguyễn Cảnh Dị. Phường Đại Kim. Quận Hoàng Mai. Hà Nội,11811284,_,,Cần bán,6m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,"4,2m",5,---,47m,4,---
 15 tỷ , 74 m, Đường Yên Xá. Xã Tân Triều. Huyện Thanh Trì. Hà Nội,11856739,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"7,5m",2,---,"9,9m",1,---
 5.7 tỷ , 48 m, Phố Phương Liệt. Phường Phương Liệt. Quận Thanh Xuân. Hà Nội,11853522,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,4m",5,---,"8,9m",4,---
 25.5 tỷ , 67 m, Đường Đại Cồ Việt. Phường Lê Đại Hành. Quận Hai Bà Trưng. Hà Nội,11851303,_,,Cần bán,30m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,4,,"13,4m",3,---
 3.3 tỷ , 33 m, Phố Giáp Nhị. Phường Thịnh Liệt. Quận Hoàng Mai. Hà Nội,11839515,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,5,---,"6,6m",3,---
 1.7 tỷ , 65 m, Xã Vạn Phúc. Huyện Thanh Trì. Hà Nội,11839494,_,---,Cần bán,4m,---,Nhà trong hẻm,---,---,5m,1,---,"13,2m",1,---
 9 tỷ , 65 m, Đường Trần Khát Chân. Phường Thanh Nhàn. Quận Hai Bà Trưng. Hà Nội,11847346,_,,Cần bán,3m,,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,,7m,6,---,"9,3m",10,---
 7 tỷ , 60 m, Phố Hoàng Văn Thái. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,11847635,_,,Cần bán,3m,,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,,"5,6m",5,---,"10,7m",8,---
 10.7 tỷ , 84 m, Xã Tứ Hiệp. Huyện Thanh Trì. Hà Nội,11922984,_,---,Cần bán,12m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,6m,---,---,14m,---,---
 7.1 tỷ , 62 m, Đường Triều Khúc. Phường Thanh Xuân Bắc. Quận Thanh Xuân. Hà Nội,11922636,_,,Cần bán,3m,,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,,4m,6,---,"15,5m",10,---
 13.5 tỷ , 68 m, Phố Tạ Quang Bửu. Phường Bách Khoa. Quận Hai Bà Trưng. Hà Nội,11910071,_,,Cần bán,4m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"8,1m",3,,"8,4m",3,---
 10.8 tỷ , 48 m, Phố Trần Quốc Hoàn. Phường Mai Dịch. Quận Cầu Giấy. Hà Nội,10700487,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,6,---,---,5,---
 11 tỷ , 50 m, Phố Xã Đàn. Phường Nam Đồng. Quận Đống Đa. Hà Nội,10670919,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,6m,5,---,---,4,---
 16 tỷ , 45 m, Phố Thái Hà. Phường Quang Trung. Quận Đống Đa. Hà Nội,10626094,_,---,Cần bán,1pm,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,5m",4,---,---,4,---
 66 tỷ , 110 m, Phố Trần Quang Diệu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,10626165,_,---,Cần bán,20m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,7m,8,---,---,10,---
 35.5 tỷ , 70 m, Phố Duy Tân. Phường Nghĩa Tân. Quận Cầu Giấy. Hà Nội,10618543,_,---,Cần bán,40m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,7,---,---,10,---
 27.5 tỷ , 135 m, Phố Dương Đình Nghệ. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,10637817,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,13m,---,---,---,---,---
 12.3 tỷ , 50 m, Phố Vương Thừa Vũ. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,10536707,_,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,4,---,---,4,---
 10.6 tỷ , 85 m, Đường Nguyễn Trãi. Phường Thanh Xuân Trung. Quận Thanh Xuân. Hà Nội,10534641,_,---,Cần bán,7m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,5,---,---,5,---
 16.9 tỷ , 60 m, Đường Nguyễn Tuân. Phường Thanh Xuân Trung. Quận Thanh Xuân. Hà Nội,10528063,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,5,---,---,5,---
 11.8 tỷ , 55 m, Phố Phạm Tuấn Tài. Phường Nghĩa Tân. Quận Cầu Giấy. Hà Nội,10798105,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,6,---,---,8,---
